trainSet,trainLabel
../datasets/processedDataset/train/angry/Training_10120469_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10161559_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1021836_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10269675_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10278738_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10290703_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10295477_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10315441_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10316849_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10334355_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10345473_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10422050_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10485618_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10503476_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10524198_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10592361_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10595751_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10608067_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10740356_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10851653_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10857340_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_10967257_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11175213_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11185740_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1119091_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11247006_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11262281_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1127865_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11292723_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11306820_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11319077_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11330391_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11350676_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11359731_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11393282_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11478843_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11566408_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11571868_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11576563_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11666709_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11713762_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1173634_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11749309_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11769870_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11770015_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11808005_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11820572_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1184435_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11860503_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11888118_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11917747_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1193977_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11940623_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11947615_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11954904_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_11990539_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12006812_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12075336_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12091917_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12095508_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12095988_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12155031_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12168970_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12172696_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12216843_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12391352_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12407292_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12409483_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12450586_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12469031_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12513174_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12565431_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12604769_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12675274_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12686673_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12695814_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12775696_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12776681_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12812647_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12837353_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12861782_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12890896_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1294170_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12961021_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_12974019_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13064272_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13081843_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13196511_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13221971_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13282534_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1329550_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13489272_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13521344_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13659242_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13677471_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13742442_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13782684_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13790669_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13898081_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13965818_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13994952_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_13997003_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1409194_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14151520_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14169607_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14215476_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14227929_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1424656_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14248179_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14248217_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1426440_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14291798_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14296537_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_143373_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14340905_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14383356_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14399797_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14485990_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14519925_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14525872_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14530363_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14532305_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14570127_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14619449_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14621559_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14636525_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14641612_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14690040_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14713134_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14754797_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1477608_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14776502_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14820944_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14848707_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14849067_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14869777_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14883276_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14909933_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14918881_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14954004_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_14976970_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1500617_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15058314_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15081195_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15127879_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15150679_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15197146_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15272626_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15311033_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15337964_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15343190_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15351749_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15429801_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15458095_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15462493_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_15484575_N95.jpg,angry
../datasets/processedDataset/train/angry/Training_1553426_N95.jpg,angry
